,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110923,ALX,182,0,182
20110923,ALXA,24150,0,88196
20110923,ALXN,246994,100,719881
20110923,AM,14964,0,23277
20110923,AMAC,243770,0,569683
20110923,AMAG,7584,0,35875
20110923,AMAP,2133,0,27518
20110923,AMAT,1157256,1000,3549786
20110923,AMBO,2200,0,3600
20110923,AMBT,100,0,1440
20110923,AMCC,49506,0,94198
20110923,AMCF,1000,1000,2824
20110923,AMCN,2592,0,5892
20110923,AMCX,38883,0,56748
20110923,AMD,2892451,0,6412311
20110923,AME,22100,0,181788
20110923,AMED,11950,0,36261
20110923,AMG,49513,0,144232
20110923,AMGN,512231,900,907858
20110923,AMID,7089,0,9317
20110923,AMJ,128107,38499,195227
20110923,AMKR,3494608,0,3705662
20110923,AMLN,140324,100,234242
20110923,AMLP,189950,12925,266802
20110923,AMM,200,0,300
20110923,AMN,2363,0,17975
20110923,AMOT,600,0,1300
20110923,AMOV,250,0,550
20110923,AMP,81446,100,270353
20110923,AMPE,4300,0,12455
20110923,AMPpA,2631,0,4238
20110923,AMR,774941,11900,2155619
20110923,AMRC,18815,0,37875
20110923,AMRI,4981,0,23889
20110923,AMRN,146631,0,324620
20110923,AMRS,49202,0,69074
20110923,AMSC,454189,0,1036443
20110923,AMSF,3200,0,5722
20110923,AMSG,1960,0,4064
20110923,AMSWA,11716,0,26406
20110923,AMT,364508,0,1059324
20110923,AMTD,620851,0,884001
20110923,AMTG,5400,0,23975
20110923,AMWD,386,0,386
20110923,AMX,332614,300,1125222
20110923,AMZN,846340,800,1974681
20110923,AN,22618,0,170079
20110923,ANAC,200,0,17190
20110923,ANAD,33919,0,112044
20110923,ANAT,1400,0,3658
20110923,ANCX,2747,0,5492
20110923,ANDE,5645,0,17961
20110923,ANDS,16000,0,70158
20110923,ANEN,12432,0,88140
20110923,ANF,206189,0,627086
20110923,ANGN,800,0,1000
20110923,ANGO,9867,0,546262
20110923,ANH,378407,100,623019
20110923,ANIK,200,0,10000
20110923,ANLY,900,0,1838
20110923,ANN,203048,0,310867
20110923,ANNB,100,0,1100
20110923,ANO,4800,2900,50450
20110923,ANR,990036,49519,2450341
20110923,ANSS,21755,0,54050
20110923,ANTH,3555,0,6455
20110923,ANTP,600,0,600
20110923,ANV,95633,10214,292917
20110923,ANW,31437,1840,142398
20110923,ANX,90840,0,222303
20110923,AOA,3990,0,5133
20110923,AOB,35325,0,113002
20110923,AOD,202436,0,527371
20110923,AOI,15660,0,30658
20110923,AOK,4759,0,8480
20110923,AOL,308753,0,607526
20110923,AOM,2167,0,7514
20110923,AON,124557,0,520754
20110923,AONE,246399,0,553221
20110923,AOR,1708,0,2158
20110923,AOS,6293,0,15422
20110923,AOSL,400,0,1500
20110923,AP,1500,0,2200
20110923,APA,433205,100,1311671
20110923,APAC,19818,0,48484
20110923,APAGF,944,0,1044
20110923,APApD,26033,0,62377
20110923,APC,336838,400,868126
20110923,APD,162781,0,307918
20110923,APEI,2485,0,47870
20110923,APF,4539,0,15237
20110923,APFC,800,0,6035
20110923,APH,185305,0,288713
20110923,API,7900,0,19500
20110923,APKT,212238,0,349839
20110923,APL,157147,0,383392
20110923,APO,12414,0,193212
20110923,APOG,16203,0,22891
20110923,APOL,126910,0,290606
20110923,APP,34091,0,59542
20110923,APPY,2315,0,3755
20110923,APRI,20255,0,45707
20110923,APSA,961,0,1461
20110923,APT,6796,0,15176
20110923,APU,20947,0,35997
20110923,APWC,1750,0,4690
20110923,ARAY,109483,0,320428
20110923,ARB,6725,0,24185
20110923,ARBA,272038,3400,341065
20110923,ARC,6290,0,46274
20110923,ARCC,189989,0,512284
20110923,ARCI,700,0,1720
20110923,ARCL,1381,0,4593
20110923,ARCO,154441,23661,400352
20110923,ARE,30022,0,92347
20110923,AREX,26646,4264,65047
20110923,ARG,39628,0,54040
20110923,ARGN,14585,0,35985
20110923,ARGT,1100,0,3101
20110923,ARHpB,498,0,1047
20110923,ARI,18125,0,38618
20110923,ARIA,447555,0,1000373
20110923,ARII,6676,0,12843
20110923,ARJ,5654,0,100414
20110923,ARK,13333,0,52741
20110923,ARKR,550,0,2050
20110923,ARLP,7121,0,34647
20110923,ARMH,444359,0,1230311
20110923,ARNA,434362,400,1090201
20110923,ARO,252810,0,423293
20110923,AROW,230,0,1576
20110923,ARQL,13321,0,23981
20110923,ARR,684809,0,1327755
20110923,ARRS,42008,0,89961
20110923,ARRY,17685,0,38451
20110923,ARSD,2553,153,6753
20110923,ART,5121,0,16254
20110923,ARTC,5235,0,17649
20110923,ARTNA,1614,0,11700
20110923,ARUN,1010270,0,1659523
20110923,ARW,52194,0,123838
20110923,ARWR,300,0,31765
20110923,ARX,6200,0,36708
20110923,ARY,5850,0,9970
20110923,ASA,13162,0,51322
20110923,ASBC,135651,0,214651
20110923,ASBI,1100,0,1672
20110923,ASCA,22707,0,44520
20110923,ASCMA,539,0,1662
20110923,ASEA,200,0,2493
20110923,ASEI,4511,0,6092
20110923,ASFI,700,0,5076
20110923,ASG,8881,0,26881
20110923,ASGN,11701,0,45371
20110923,ASH,64411,0,181359
20110923,ASI,2200,0,7776
20110923,ASIA,49850,6900,154425
20110923,ASM,1100,900,35540
20110923,ASMI,1928,0,5641
20110923,ASML,309218,0,1010115
20110923,ASNA,52684,0,132531
20110923,ASPS,1250,0,10292
20110923,ASR,7600,0,13000
20110923,ASTC,1520,0,15899
20110923,ASTE,21426,0,34861
20110923,ASTI,12200,0,37915
20110923,ASTM,45335,0,145026
20110923,ASTX,48629,200,166078
20110923,ASX,17327,0,567339
20110923,ASYS,18433,0,29930
20110923,AT,90540,0,137084
20110923,ATA,300,0,450
20110923,ATAI,700,0,3015
20110923,ATAX,4500,0,18667
20110923,ATE,500,0,1967
20110923,ATEA,100,0,200
20110923,ATEC,13510,0,34750
20110923,ATHN,57559,0,128550
